comparison,metric,point_estimate,ci_lower,ci_upper,repetitions
temporal_rgcn - entity_gru,recall_at_3,0.04939981301625568,-0.007862013578414916,0.115032216347754,2000
temporal_rgcn - entity_gru,mean_average_precision,0.023330913981883472,-0.01345868066418916,0.06211501732468605,2000
temporal_rgcn - no_edge_control,recall_at_3,0.019852260748545347,-0.0255140695720911,0.06866058483719824,2000
temporal_rgcn - no_edge_control,mean_average_precision,0.007806650362052081,-0.021304677799344064,0.047613853681832546,2000
temporal_rgcn - shuffled_edge_control,recall_at_3,0.006463527679443359,-0.04762279866263271,0.05324708968400955,2000
temporal_rgcn - shuffled_edge_control,mean_average_precision,-0.010206774091815585,-0.03679928686469793,0.022769032930955262,2000
